2025-12-30 13:47:17,196 INFO    MainThread:24220 [wandb_setup.py:_flush():80] Current SDK version is 0.23.1
2025-12-30 13:47:17,197 INFO    MainThread:24220 [wandb_setup.py:_flush():80] Configure stats pid to 24220
2025-12-30 13:47:17,197 INFO    MainThread:24220 [wandb_setup.py:_flush():80] Loading settings from C:\Users\Hello\.config\wandb\settings
2025-12-30 13:47:17,197 INFO    MainThread:24220 [wandb_setup.py:_flush():80] Loading settings from C:\Users\Hello\mlops-neural-machine-translation\wandb\settings
2025-12-30 13:47:17,197 INFO    MainThread:24220 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-12-30 13:47:17,197 INFO    MainThread:24220 [wandb_init.py:setup_run_log_directory():714] Logging user logs to C:\Users\Hello\mlops-neural-machine-translation\wandb\run-20251230_134717-rz1ih8yn\logs\debug.log
2025-12-30 13:47:17,198 INFO    MainThread:24220 [wandb_init.py:setup_run_log_directory():715] Logging internal logs to C:\Users\Hello\mlops-neural-machine-translation\wandb\run-20251230_134717-rz1ih8yn\logs\debug-internal.log
2025-12-30 13:47:17,198 INFO    MainThread:24220 [wandb_init.py:init():841] calling init triggers
2025-12-30 13:47:17,198 INFO    MainThread:24220 [wandb_init.py:init():846] wandb.init called with sweep_config: {}
config: {'lr': 0.0005, 'batch_size': 8, 'epochs': 1, 'seed': 42, 'model': 'Helsinki-NLP/opus-mt-en-vi', '_wandb': {}}
2025-12-30 13:47:17,198 INFO    MainThread:24220 [wandb_init.py:init():889] starting backend
2025-12-30 13:47:20,074 INFO    MainThread:24220 [wandb_init.py:init():892] sending inform_init request
2025-12-30 13:47:20,170 INFO    MainThread:24220 [wandb_init.py:init():900] backend started and connected
2025-12-30 13:47:20,175 INFO    MainThread:24220 [wandb_init.py:init():970] updated telemetry
2025-12-30 13:47:20,282 INFO    MainThread:24220 [wandb_init.py:init():994] communicating run to backend with 90.0 second timeout
2025-12-30 13:47:23,054 INFO    MainThread:24220 [wandb_init.py:init():1041] starting run threads in backend
2025-12-30 13:47:24,581 INFO    MainThread:24220 [wandb_run.py:_console_start():2521] atexit reg
2025-12-30 13:47:24,581 INFO    MainThread:24220 [wandb_run.py:_redirect():2369] redirect: wrap_raw
2025-12-30 13:47:24,581 INFO    MainThread:24220 [wandb_run.py:_redirect():2438] Wrapping output streams.
2025-12-30 13:47:24,581 INFO    MainThread:24220 [wandb_run.py:_redirect():2461] Redirects installed.
2025-12-30 13:47:24,591 INFO    MainThread:24220 [wandb_init.py:init():1081] run started, returning control to user process
2025-12-30 13:47:25,026 INFO    wandb-AsyncioManager-main:24220 [service_client.py:_forward_responses():80] Reached EOF.
2025-12-30 13:47:25,026 INFO    wandb-AsyncioManager-main:24220 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
