C:\Users\Hello\mlops-neural-machine-translation\src\training\run_opus.py:110: FutureWarning: `tokenizer` is deprecated and will be removed in version 5.0.0 for `Trainer.__init__`. Use `processing_class` instead.
  trainer = Trainer(
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'bos_token_id': None}.
                                                                                                                                                               
{'loss': 0.7166, 'grad_norm': 1.164286732673645, 'learning_rate': 0.0004992128738849046, 'epoch': 0.0}
{'loss': 0.2139, 'grad_norm': 1.2099511623382568, 'learning_rate': 0.0004983382893125765, 'epoch': 0.0}
{'loss': 0.257, 'grad_norm': 2.0319595336914062, 'learning_rate': 0.0004974637047402483, 'epoch': 0.01}
{'loss': 0.2595, 'grad_norm': 1.8754429817199707, 'learning_rate': 0.0004965891201679203, 'epoch': 0.01}
{'loss': 0.2431, 'grad_norm': 1.8334511518478394, 'learning_rate': 0.0004957145355955921, 'epoch': 0.01}
{'loss': 0.2503, 'grad_norm': 1.665196180343628, 'learning_rate': 0.000494839951023264, 'epoch': 0.01}
{'loss': 0.2667, 'grad_norm': 2.758585214614868, 'learning_rate': 0.0004939653664509359, 'epoch': 0.01}
{'loss': 0.2796, 'grad_norm': 2.253631353378296, 'learning_rate': 0.0004930907818786077, 'epoch': 0.01}
{'loss': 0.2976, 'grad_norm': 2.161121368408203, 'learning_rate': 0.0004922161973062796, 'epoch': 0.02}
{'loss': 0.2683, 'grad_norm': 1.559067726135254, 'learning_rate': 0.0004913416127339514, 'epoch': 0.02}
{'loss': 0.2579, 'grad_norm': 1.760876178741455, 'learning_rate': 0.0004904670281616233, 'epoch': 0.02}
{'loss': 0.2998, 'grad_norm': 1.9992802143096924, 'learning_rate': 0.0004895924435892951, 'epoch': 0.02}
{'loss': 0.2985, 'grad_norm': 1.502345323562622, 'learning_rate': 0.000488717859016967, 'epoch': 0.02}
{'loss': 0.2797, 'grad_norm': 1.8005921840667725, 'learning_rate': 0.00048784327444463885, 'epoch': 0.02}
{'loss': 0.2886, 'grad_norm': 1.8872754573822021, 'learning_rate': 0.0004869686898723107, 'epoch': 0.03}
{'loss': 0.3063, 'grad_norm': 2.203779458999634, 'learning_rate': 0.0004860941052999825, 'epoch': 0.03}
{'loss': 0.315, 'grad_norm': 2.944662094116211, 'learning_rate': 0.00048521952072765436, 'epoch': 0.03}
{'loss': 0.2928, 'grad_norm': 1.9449384212493896, 'learning_rate': 0.0004843449361553262, 'epoch': 0.03}
{'loss': 0.2869, 'grad_norm': 2.9705569744110107, 'learning_rate': 0.00048347035158299807, 'epoch': 0.03}
{'loss': 0.3024, 'grad_norm': 3.032258987426758, 'learning_rate': 0.0004825957670106699, 'epoch': 0.03}
{'loss': 0.2733, 'grad_norm': 1.4613075256347656, 'learning_rate': 0.0004817211824383418, 'epoch': 0.04}
{'loss': 0.3, 'grad_norm': 1.5486961603164673, 'learning_rate': 0.00048084659786601364, 'epoch': 0.04}
{'loss': 0.3086, 'grad_norm': 1.7021476030349731, 'learning_rate': 0.0004799720132936855, 'epoch': 0.04}
{'loss': 0.3141, 'grad_norm': 1.9998064041137695, 'learning_rate': 0.00047909742872135735, 'epoch': 0.04}
{'loss': 0.3016, 'grad_norm': 2.2326700687408447, 'learning_rate': 0.0004782228441490292, 'epoch': 0.04}
{'loss': 0.2952, 'grad_norm': 1.4194047451019287, 'learning_rate': 0.00047734825957670106, 'epoch': 0.05}
{'loss': 0.297, 'grad_norm': 4.874407768249512, 'learning_rate': 0.0004764736750043729, 'epoch': 0.05}
{'loss': 0.3156, 'grad_norm': 1.7707971334457397, 'learning_rate': 0.0004755990904320448, 'epoch': 0.05}
{'loss': 0.2881, 'grad_norm': 2.07352614402771, 'learning_rate': 0.0004747245058597167, 'epoch': 0.05}
{'loss': 0.3092, 'grad_norm': 1.6007033586502075, 'learning_rate': 0.00047384992128738854, 'epoch': 0.05}
{'loss': 0.31, 'grad_norm': 1.5334690809249878, 'learning_rate': 0.0004729753367150604, 'epoch': 0.05}
{'loss': 0.3211, 'grad_norm': 2.0545766353607178, 'learning_rate': 0.00047210075214273225, 'epoch': 0.06}
{'loss': 0.3027, 'grad_norm': 1.7724816799163818, 'learning_rate': 0.00047122616757040405, 'epoch': 0.06}
{'loss': 0.2964, 'grad_norm': 1.6639680862426758, 'learning_rate': 0.0004703515829980759, 'epoch': 0.06}
{'loss': 0.3163, 'grad_norm': 1.7447971105575562, 'learning_rate': 0.00046947699842574776, 'epoch': 0.06}
{'loss': 0.3277, 'grad_norm': 1.689414381980896, 'learning_rate': 0.0004686024138534196, 'epoch': 0.06}
{'loss': 0.2878, 'grad_norm': 2.1474602222442627, 'learning_rate': 0.00046772782928109147, 'epoch': 0.06}
{'loss': 0.2904, 'grad_norm': 2.321357011795044, 'learning_rate': 0.00046685324470876333, 'epoch': 0.07}
{'loss': 0.3216, 'grad_norm': 1.2486917972564697, 'learning_rate': 0.0004659786601364352, 'epoch': 0.07}
{'loss': 0.3604, 'grad_norm': 1.3472681045532227, 'learning_rate': 0.00046510407556410704, 'epoch': 0.07}
{'loss': 0.3329, 'grad_norm': 3.853538990020752, 'learning_rate': 0.0004642294909917789, 'epoch': 0.07}
{'loss': 0.3392, 'grad_norm': 1.266063928604126, 'learning_rate': 0.00046335490641945075, 'epoch': 0.07}
{'loss': 0.3218, 'grad_norm': 1.0676664113998413, 'learning_rate': 0.0004624803218471226, 'epoch': 0.08}
{'loss': 0.3137, 'grad_norm': 5.8341264724731445, 'learning_rate': 0.0004616057372747945, 'epoch': 0.08}
{'loss': 0.321, 'grad_norm': 4.89198112487793, 'learning_rate': 0.00046073115270246637, 'epoch': 0.08}
{'loss': 0.3453, 'grad_norm': 14.350954055786133, 'learning_rate': 0.0004598565681301382, 'epoch': 0.08}
{'loss': 0.3049, 'grad_norm': 1.5749598741531372, 'learning_rate': 0.0004589819835578101, 'epoch': 0.08}
{'loss': 0.3084, 'grad_norm': 1.6010812520980835, 'learning_rate': 0.00045810739898548194, 'epoch': 0.08}
{'loss': 0.3166, 'grad_norm': 1.7536474466323853, 'learning_rate': 0.0004572328144131538, 'epoch': 0.09}
{'loss': 0.2925, 'grad_norm': 1.5909775495529175, 'learning_rate': 0.00045635822984082565, 'epoch': 0.09}
{'loss': 0.3222, 'grad_norm': 2.279719829559326, 'learning_rate': 0.00045548364526849745, 'epoch': 0.09}
{'loss': 0.3239, 'grad_norm': 1.3703018426895142, 'learning_rate': 0.0004546090606961693, 'epoch': 0.09}
{'loss': 0.3158, 'grad_norm': 2.2648427486419678, 'learning_rate': 0.00045373447612384116, 'epoch': 0.09}
{'loss': 0.3, 'grad_norm': 5.134622097015381, 'learning_rate': 0.000452859891551513, 'epoch': 0.09}
{'loss': 0.3071, 'grad_norm': 1.517543911933899, 'learning_rate': 0.0004519853069791849, 'epoch': 0.1}
{'loss': 0.3068, 'grad_norm': 1.7141239643096924, 'learning_rate': 0.00045111072240685673, 'epoch': 0.1}
{'loss': 0.3116, 'grad_norm': 1.8163903951644897, 'learning_rate': 0.0004502361378345286, 'epoch': 0.1}
{'loss': 0.2863, 'grad_norm': 1.982316017150879, 'learning_rate': 0.00044936155326220044, 'epoch': 0.1}
{'loss': 0.3138, 'grad_norm': 1.549168586730957, 'learning_rate': 0.0004484869686898723, 'epoch': 0.1}
{'loss': 0.2945, 'grad_norm': 2.3131585121154785, 'learning_rate': 0.0004476123841175442, 'epoch': 0.1}
{'loss': 0.2974, 'grad_norm': 1.6727349758148193, 'learning_rate': 0.00044673779954521606, 'epoch': 0.11}
{'loss': 0.308, 'grad_norm': 1.420471429824829, 'learning_rate': 0.0004458632149728879, 'epoch': 0.11}
{'loss': 0.3157, 'grad_norm': 1.1510895490646362, 'learning_rate': 0.00044498863040055977, 'epoch': 0.11}
{'loss': 0.3182, 'grad_norm': 1.3245574235916138, 'learning_rate': 0.00044411404582823163, 'epoch': 0.11}
{'loss': 0.316, 'grad_norm': 1.4496577978134155, 'learning_rate': 0.0004432394612559035, 'epoch': 0.11}
{'loss': 0.3135, 'grad_norm': 1.4875744581222534, 'learning_rate': 0.00044236487668357534, 'epoch': 0.12}
{'loss': 0.3267, 'grad_norm': 1.925379991531372, 'learning_rate': 0.0004414902921112472, 'epoch': 0.12}
{'loss': 0.3141, 'grad_norm': 1.4977065324783325, 'learning_rate': 0.000440615707538919, 'epoch': 0.12}
{'loss': 0.3044, 'grad_norm': 0.9169924259185791, 'learning_rate': 0.00043974112296659085, 'epoch': 0.12}
{'loss': 0.2638, 'grad_norm': 1.1949838399887085, 'learning_rate': 0.0004388665383942627, 'epoch': 0.12}
{'loss': 0.3069, 'grad_norm': 1.2916984558105469, 'learning_rate': 0.00043799195382193456, 'epoch': 0.12}
{'loss': 0.3149, 'grad_norm': 0.9158267974853516, 'learning_rate': 0.0004371173692496064, 'epoch': 0.13}
{'loss': 0.3179, 'grad_norm': 1.5700658559799194, 'learning_rate': 0.0004362427846772783, 'epoch': 0.13}
{'loss': 0.3181, 'grad_norm': 1.4930473566055298, 'learning_rate': 0.00043536820010495013, 'epoch': 0.13}
{'loss': 0.3136, 'grad_norm': 1.5489059686660767, 'learning_rate': 0.000434493615532622, 'epoch': 0.13}
