The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'bos_token_id': None}.
                                                                                                                                                               
{'loss': 0.666, 'grad_norm': 0.6653291583061218, 'learning_rate': 0.00019979010704540686, 'epoch': 0.0}
{'loss': 0.1159, 'grad_norm': 0.7973467707633972, 'learning_rate': 0.00019955689265141447, 'epoch': 0.01}
{'loss': 0.1036, 'grad_norm': 0.7687903642654419, 'learning_rate': 0.00019932367825742207, 'epoch': 0.01}
{'loss': 0.1058, 'grad_norm': 0.7866376638412476, 'learning_rate': 0.00019909046386342968, 'epoch': 0.01}
{'loss': 0.1029, 'grad_norm': 0.7601231932640076, 'learning_rate': 0.00019885724946943728, 'epoch': 0.02}
{'loss': 0.1058, 'grad_norm': 0.9217932224273682, 'learning_rate': 0.00019862403507544488, 'epoch': 0.02}
{'loss': 0.1107, 'grad_norm': 0.9060877561569214, 'learning_rate': 0.00019839082068145246, 'epoch': 0.02}
{'loss': 0.1162, 'grad_norm': 0.9836428165435791, 'learning_rate': 0.00019815760628746006, 'epoch': 0.03}
{'loss': 0.1067, 'grad_norm': 0.8600736260414124, 'learning_rate': 0.00019792439189346767, 'epoch': 0.03}
{'loss': 0.105, 'grad_norm': 1.0076323747634888, 'learning_rate': 0.00019769117749947527, 'epoch': 0.03}
{'loss': 0.0992, 'grad_norm': 0.6943727731704712, 'learning_rate': 0.00019745796310548287, 'epoch': 0.04}
{'loss': 0.1146, 'grad_norm': 0.7176571488380432, 'learning_rate': 0.00019722474871149048, 'epoch': 0.04}
{'loss': 0.107, 'grad_norm': 0.9211220741271973, 'learning_rate': 0.00019699153431749808, 'epoch': 0.05}
{'loss': 0.1073, 'grad_norm': 0.9864506125450134, 'learning_rate': 0.00019675831992350569, 'epoch': 0.05}
{'loss': 0.1073, 'grad_norm': 1.264474868774414, 'learning_rate': 0.0001965251055295133, 'epoch': 0.05}
{'loss': 0.1069, 'grad_norm': 1.3211326599121094, 'learning_rate': 0.0001962918911355209, 'epoch': 0.06}
{'loss': 0.1035, 'grad_norm': 0.9186356663703918, 'learning_rate': 0.0001960586767415285, 'epoch': 0.06}
{'loss': 0.1023, 'grad_norm': 0.7375897765159607, 'learning_rate': 0.0001958254623475361, 'epoch': 0.06}
{'loss': 0.0985, 'grad_norm': 0.7624813318252563, 'learning_rate': 0.0001955922479535437, 'epoch': 0.07}
{'loss': 0.1118, 'grad_norm': 0.8273699283599854, 'learning_rate': 0.0001953590335595513, 'epoch': 0.07}
{'loss': 0.1134, 'grad_norm': 0.6370608806610107, 'learning_rate': 0.0001951258191655589, 'epoch': 0.07}
{'loss': 0.1034, 'grad_norm': 0.47534582018852234, 'learning_rate': 0.0001948926047715665, 'epoch': 0.08}
{'loss': 0.1079, 'grad_norm': 0.7268385291099548, 'learning_rate': 0.0001946593903775741, 'epoch': 0.08}
